S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,2.4957717999986926,None,,,,0,0,0,0,,,,,0.031176399999822024,,0.02695320000020729,0.031176399999822024,0.031176399999822024,2.5480105000006006,space,2.4957717999986926,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Walk,N,Table,1,1,0,space,1.2179835000006278,None,,,,0,1,1,1,,,,,2.559090600001582,,2.5519301000003907,2.559090600001582,2.559090600001582,3.793251800001599,space,1.2179835000006278,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Hopeful,E,Guilty,2,2,0,space,4.246563400000014,None,,,,0,2,2,2,,,,,3.8085343000002467,,3.7987179000010656,3.8085343000002467,3.8085343000002467,8.06018320000112,space,4.246563400000014,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Bridge,N,Spoon,3,3,0,space,1.6971864000006462,None,,,,0,3,3,3,,,,,8.074897300000885,,8.069190700000036,8.074897300000885,8.074897300000885,9.776533700000073,space,1.6971864000006462,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Amused,E,Happy ,4,4,0,space,1.9666514999989886,None,,,,0,4,4,4,,,,,9.793496100000993,,9.783806900000855,9.793496100000993,9.793496100000993,11.77645450000091,space,1.9666514999989886,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Speak,N,Pencil,5,5,0,space,2.9377573000001576,None,,,,0,5,5,5,,,,,11.790636700001414,,11.783248300000196,11.790636700001414,11.790636700001414,14.741916500001025,space,2.9377573000001576,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Sad,E,Love,6,6,0,space,2.2304507000008016,None,,,,0,6,6,6,,,,,14.757863599999837,,14.743742300001031,14.757863599999837,14.757863599999837,16.991994400001204,space,2.2304507000008016,None,,,,,,,,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.99218170000131,17.00706859999991,17.00706859999991,21.55884740000147,space,4.5375622999999905,None,,,,,,,,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,2.050022600000375,None,,,,,0,0,0,0,21.580487100000028,,,,,,,,,,,,,,,,21.57196120000117,21.580487100000028,21.580487100000028,23.64107200000035,space,2.050022600000375,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Walk,N,Table,1,1,0,,,,space,2.5593291000004683,None,,,,,0,1,1,1,23.65661910000017,,,,,,,,,,,,,,,,23.64535260000048,23.65661910000017,23.65661910000017,26.22461579999981,space,2.5593291000004683,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Hopeful,E,Guilty,2,2,0,,,,space,4.866679699998713,None,,,,,0,2,2,2,26.239066000000093,,,,,,,,,,,,,,,,26.22990910000044,26.239066000000093,26.239066000000093,31.107728200000565,space,4.866679699998713,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Bridge,N,Spoon,3,3,0,,,,space,1.5652754999991885,None,,,,,0,3,3,3,31.121638200000234,,,,,,,,,,,,,,,,31.112293900001532,31.121638200000234,31.121638200000234,32.69008700000086,space,1.5652754999991885,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Amused,E,Happy ,4,4,0,,,,space,1.883454900000288,None,,,,,0,4,4,4,32.70493130000068,,,,,,,,,,,,,,,,32.69393459999992,32.70493130000068,32.70493130000068,34.58994640000128,space,1.883454900000288,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Speak,N,Pencil,5,5,0,,,,space,1.3525594000002457,None,,,,,0,5,5,5,34.60508330000084,,,,,,,,,,,,,,,,34.59284140000091,34.60508330000084,34.60508330000084,35.973154799999975,space,1.3525594000002457,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
Sad,E,Love,6,6,0,,,,space,2.1843398999990313,None,,,,,0,6,6,6,35.987654600001406,,,,,,,,,,,,,,,,35.978629700000965,35.987654600001406,35.987654600001406,38.17428860000109,space,2.1843398999990313,None,P7,001,2025-04-16_19h03.47.968,emotion_nonemotion,2024.2.1post4,60.043435421427795,2025-04-16 19h03.55.884245 +0530,
