S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,1.3652385999994294,None,,,,0,0,0,0,,,,,0.036914899999828776,,0.033692699998937314,0.036914899999828776,0.036914899999828776,1.543287500000588,space,1.3652385999994294,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Walk,N,Table,1,1,0,space,1.3366215999994893,None,,,,0,1,1,1,,,,,1.5552944999999454,,1.5520278999993025,1.5552944999999454,1.5552944999999454,2.8966368999990664,space,1.3366215999994893,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Hopeful,E,Guilty,2,2,0,space,1.1511955999994825,None,,,,0,2,2,2,,,,,2.9123934999988705,,2.9027439999990747,2.9123934999988705,2.9123934999988705,4.0812206999999034,space,1.1511955999994825,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Bridge,N,Spoon,3,3,0,space,1.4972318000000087,None,,,,0,3,3,3,,,,,4.095617499999207,,4.089582700000392,4.095617499999207,4.095617499999207,5.597292999998899,space,1.4972318000000087,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Amused,E,Happy ,4,4,0,space,1.6881439000007958,None,,,,0,4,4,4,,,,,5.614272099999653,,5.611600799998996,5.614272099999653,5.614272099999653,7.313961899999413,space,1.6881439000007958,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Speak,N,Pencil,5,5,0,space,0.8751808000015444,None,,,,0,5,5,5,,,,,7.328400899999906,,7.319754199999807,7.328400899999906,7.328400899999906,8.2133259000002,space,0.8751808000015444,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Sad,E,Love,6,6,0,space,0.7882038000007014,None,,,,0,6,6,6,,,,,8.228392299999541,,8.21622699999898,8.228392299999541,8.228392299999541,9.029354399999647,space,0.7882038000007014,None,,,,,,,,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.029478899999958,9.044917499999428,9.044917499999428,15.563233499999114,space,6.513164299998607,None,,,,,,,,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,1.4338637000000745,None,,,,,0,0,0,0,15.581383900000219,,,,,,,,,,,,,,,,15.5778279999995,15.581383900000219,15.581383900000219,17.029104899998856,space,1.4338637000000745,None,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Walk,N,Table,1,1,0,,,,space,1.6053154000001086,None,,,,,0,1,1,1,17.043662399999448,,,,,,,,,,,,,,,,17.035381399999096,17.043662399999448,17.043662399999448,18.662503899999138,space,1.6053154000001086,None,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Hopeful,E,Guilty,2,2,0,,,,space,1.4757902000001195,None,,,,,0,2,2,2,18.677166399998896,,,,,,,,,,,,,,,,18.668623699999443,18.677166399998896,18.677166399998896,20.16202759999942,space,1.4757902000001195,None,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
Bridge,N,Spoon,3,3,0,,,,space,0.7552116999995633,None,,,,,0,3,3,3,20.176797500000248,,,,,,,,,,,,,,,,20.167293299999073,20.176797500000248,20.176797500000248,20.944912799999656,space,0.7552116999995633,None,TRY,001,2025-04-16_18h22.10.015,emotion_nonemotion,2024.2.1post4,59.963578122578056,2025-04-16 18h22.23.920112 +0530,
