pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,0,0,0,z,1,0.4149942999938503,None,0,0,0,0,,,,,0.018898900016210973,,0.012714199954643846,0.018898900016210973,1.001827699947171,1.001827699947171,1.001827699947171,1.001827699947171,1.01857650000602,2.001786299981177,2.001786299981177,2.5591269999276847,z,1,0.4149942999938503,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
-50,x,1,1,0,x,1,0.6185197000158951,None,0,1,1,1,,,,,2.5654225000180304,,2.559479699935764,2.5654225000180304,3.5684091999428347,3.5684091999428347,3.5684091999428347,3.5684091999428347,3.5684091999428347,4.567854600027204,4.567854600027204,5.204159299959429,x,1,0.6185197000158951,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
50,c,2,2,0,c,1,0.4882231999654323,None,0,2,2,2,,,,,5.21803450002335,,5.204755299957469,5.21803450002335,6.217912400024943,6.217912400024943,6.217912400024943,6.217912400024943,6.217912400024943,7.217663899995387,7.217663899995387,7.720500799943693,c,1,0.4882231999654323,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
150,v,3,3,0,v,1,0.31122250005137175,None,0,3,3,3,,,,,7.734398199943826,,7.721090600010939,7.734398199943826,8.733862099936232,8.733862099936232,8.733862099936232,8.733862099936232,8.733862099936232,9.734003399964422,9.734003399964422,10.05281769996509,v,1,0.31122250005137175,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
-150,z,4,0,1,z,1,0.3315055000130087,None,1,0,4,0,,,,,10.067375999991782,,10.053433699999005,10.067375999991782,11.067007099976763,11.067007099976763,11.067007099976763,11.067007099976763,11.067007099976763,12.0671474999981,12.0671474999981,12.402343299938366,z,1,0.3315055000130087,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
-50,x,5,1,1,x,1,0.31673149997368455,None,1,1,5,1,,,,,12.416811699979007,,12.40285800001584,12.416811699979007,13.416407599928789,13.416407599928789,13.416407599928789,13.416407599928789,13.416407599928789,14.417053899960592,14.417053899960592,14.736243500025012,x,1,0.31673149997368455,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
50,c,6,2,1,c,1,0.36108460009563714,None,1,2,6,2,,,,,14.75066889997106,,14.736852700007148,14.75066889997106,15.753818599972874,15.753818599972874,15.753818599972874,15.753818599972874,15.753818599972874,16.749710500007495,16.749710500007495,17.11858669994399,c,1,0.36108460009563714,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
150,v,7,3,1,v,1,0.2742725000716746,None,1,3,7,3,,,,,17.132943099946715,,17.119169699959457,17.132943099946715,18.133005999960005,18.133005999960005,18.133005999960005,18.133005999960005,18.133005999960005,19.132918199989945,19.132918199989945,19.418387499987148,v,1,0.2742725000716746,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
-150,z,8,0,2,z,1,0.5696992001030594,None,2,0,8,0,,,,,19.43271339999046,,19.418978399946354,19.43271339999046,20.43259889993351,20.43259889993351,20.43259889993351,20.43259889993351,20.43259889993351,21.43266950000543,21.43266950000543,22.018195900018327,z,1,0.5696992001030594,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
-50,x,9,1,2,x,1,0.2866894999751821,None,2,1,9,1,,,,,22.032366100000218,,22.0187816999387,22.032366100000218,23.032376699964516,23.032376699964516,23.032376699964516,23.032376699964516,23.032376699964516,24.032279099919833,24.032279099919833,24.33325399993919,x,1,0.2866894999751821,None,,,,,564955,001,2024-10-17_11h49.46.040,motor_sequence,2024.2.1post4,59.923908655285594,2024-10-17 11h50.02.882028 +0530,
