delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400,unexp,0,0,0,space,0.9291579000419006,None,200,1,[7.950899200048298],[7.9509067999897525],0,0,0,1,0.0513389001134783,,0.04509690008126199,0.0513389001134783,1.0014423000393435,1.0014423000393435,1.0516428000992164,2.043188900104724,space,0.9291579000419006,None,2.0439383001066744,2.451421566718879,2.7674933000234887,2.7512345000868663,2.7518855000380427,2.7674933000234887,2.7674933000234887,2.7674933000234887,10.719013300025836,200,1,[7.950899200048298],[7.9509067999897525],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.1,1000,exp,1,1,0,space,2.058636700036004,None,100,1,[3.4179344000294805],[3.417941299965605],0,1,1,9,10.733423600089736,,10.71920700010378,10.733423600089736,11.734798500081524,11.734798500081524,11.734798500081524,13.802227400010452,space,2.058636700036004,None,13.80278700008057,13.916723366772446,14.232981100096367,14.217583700083196,14.218208500067703,14.232981100096367,14.232981100096367,14.232981100096367,17.6515513000777,100,1,[3.4179344000294805],[3.417941299965605],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.1,1000,exp,2,2,0,space,0.9901239998871461,None,50,1,[14.434035099926405],[14.434041099972092],0,2,2,6,17.66634930006694,,17.65175520000048,17.66634930006694,18.667250900063664,18.667250900063664,18.667250900063664,19.667205900070257,space,0.9901239998871461,None,19.667793500004336,19.766896466670246,20.081893000053242,20.05757230008021,20.057988100103103,20.081893000053242,20.081893000053242,20.081893000053242,34.51646630000323,50,1,[14.434035099926405],[14.434041099972092],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.7,1000,exp,3,3,0,space,0.9306801999919116,None,300,1,[2.700990300043486],[2.700995899969712],0,3,3,8,34.530543800094165,,34.51662980008405,34.530543800094165,35.53074350010138,35.53074350010138,35.53074350010138,36.464890300063416,space,0.9306801999919116,None,36.4653299000347,37.180550066699894,37.496488200034946,37.47968630003743,37.48038590000942,37.496488200034946,37.496488200034946,37.496488200034946,40.198063200106844,300,1,[2.700990300043486],[2.700995899969712],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.7,400,unexp,4,4,0,space,0.8832233999855816,None,450,1,[3.3009023999329656],[3.3009081999771297],0,4,4,2,40.21374170004856,,40.19823110010475,40.21374170004856,41.21363250003196,41.21363250003196,41.21363250003196,42.09840990009252,space,0.8832233999855816,None,42.09892050002236,42.813947166727544,43.12895420007408,43.11524960002862,43.11569930007681,43.12895420007408,43.12895420007408,43.12895420007408,46.430407500010915,450,1,[3.3009023999329656],[3.3009081999771297],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.4,1000,exp,5,5,0,space,0.9671882000984624,None,200,1,[3.3012555999448523],[3.301259999978356],0,5,5,4,46.44623990007676,,46.43058830010705,46.44623990007676,47.42907680000644,47.42907680000644,47.44635580002796,48.413545400020666,space,0.9671882000984624,None,48.4142343000276,48.81322846672653,49.128212700015865,49.1038018000545,49.10463549999986,49.128212700015865,49.128212700015865,49.128212700015865,52.43007740005851,200,1,[3.3012555999448523],[3.301259999978356],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.1,400,unexp,6,6,0,space,0.6127139000454918,None,100,1,[2.6503726999508217],[2.6503793000010774],0,6,6,0,52.44608700007666,,52.430381300044246,52.44608700007666,53.42978680005763,53.42978680005763,53.44639640010428,54.04825890006032,space,0.6127139000454918,None,54.049232300021686,54.16139636672257,54.477563800057396,54.45823800005019,54.45975590008311,54.477563800057396,54.477563800057396,54.477563800057396,57.12847670004703,100,1,[2.6503726999508217],[2.6503793000010774],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.1,1000,exp,7,7,0,space,0.37610710004810244,None,50,1,[2.9831913999514654],[2.983197499997914],0,7,7,3,57.14424360007979,,57.128723600064404,57.14424360007979,58.12871830002405,58.12871830002405,58.14562360011041,58.51253680000082,space,0.37610710004810244,None,58.51313940004911,58.6121420667662,58.943906800006516,58.92301650007721,58.92360300000291,58.943906800006516,58.943906800006516,58.943906800006516,61.92778990010265,50,1,[2.9831913999514654],[2.983197499997914],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.4,1000,exp,8,8,0,space,0.01040659996215254,None,40,1,[6.900002299924381],[6.900009499979205],0,8,8,7,61.9442044000607,,61.928058800054714,61.9442044000607,62.92835260007996,62.92835260007996,62.94530930009205,62.9471901000943,space,0.01040659996215254,None,62.948077400098555,63.360846366678985,63.643320800038055,63.628259400022216,63.628623100114055,63.643320800038055,63.643320800038055,63.643320800038055,70.54391940007918,40,1,[6.900002299924381],[6.900009499979205],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
0.7,1000,exp,9,9,0,space,0.430468300008215,None,350,1,[3.317306899931282],[3.3173148999921978],0,9,9,5,70.55942200007848,,70.5441183000803,70.55942200007848,71.54348810005467,71.54348810005467,71.56130170007236,71.97775400010869,space,0.430468300008215,None,71.9786926000379,72.67705756676538,72.99251700006425,72.96824890002608,72.96869280003011,72.99251700006425,72.99251700006425,72.99251700006425,76.31049250008073,350,1,[3.317306899931282],[3.3173148999921978],588890,001,2024-11-14_16h55.29.050,intentional_binding,2024.2.1post4,60.326147265876486,2024-11-14 16h56.07.176880 +0530,
