study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Police,0,0,0,1.016,4.424576199846342,,,,,,,,,,,,0,0,0,12,,,,,0.04812499997206032,,0.025302999885752797,0.04812499997206032,0.04812499997206032,4.466208799974993,1.016,4.424576199846342,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
Pastry,1,1,0,1.016,1.6440781001001596,,,,,,,,,,,,0,1,1,9,,,,,4.481549399904907,,4.471655000001192,4.481549399904907,4.481549399904907,6.132630999898538,1.016,1.6440781001001596,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
board,2,2,0,1.016,1.0643976000137627,,,,,,,,,,,,0,2,2,4,,,,,6.148245600052178,,6.136108299950138,6.148245600052178,6.148245600052178,7.215537399984896,1.016,1.0643976000137627,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
Laptop,3,3,0,1.016,0.9798084001522511,,,,,,,,,,,,0,3,3,5,,,,,7.231190300080925,,7.219412199920043,7.231190300080925,7.231190300080925,8.216124499915168,1.016,0.9798084001522511,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
Keys,4,4,0,1.016,0.9625806000549346,,,,,,,,,,,,0,4,4,13,,,,,8.231097900075838,,8.220339499879628,8.231097900075838,8.231097900075838,9.199872199911624,1.016,0.9625806000549346,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
mouse,5,5,0,1.016,0.9299053999129683,,,,,,,,,,,,0,5,5,8,,,,,9.214392999885604,,9.202712300000712,9.214392999885604,9.214392999885604,10.14887039992027,1.016,0.9299053999129683,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
Poster,6,6,0,1.016,1.0155257999431342,,,,,,,,,,,,0,6,6,14,,,,,10.164452200056985,,10.150727499974892,10.164452200056985,10.164452200056985,11.182210099883378,1.016,1.0155257999431342,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
phone,7,7,0,1.016,1.5450626998208463,,,,,,,,,,,,0,7,7,2,,,,,11.197471600025892,,11.187717899912968,11.197471600025892,11.197471600025892,12.748901899904013,1.016,1.5450626998208463,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
Chart,8,8,0,1.016,1.263251299969852,,,,,,,,,,,,0,8,8,6,,,,,12.763984000077471,,12.752220900030807,12.763984000077471,12.763984000077471,14.032466300064698,1.016,1.263251299969852,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
T-shirt,9,9,0,1.016,1.076809599995613,,,,,,,,,,,,0,9,9,7,,,,,14.04685949999839,,14.038324299966916,14.04685949999839,14.04685949999839,15.131539300084114,1.016,1.076809599995613,,,,,,,,,,,,,,,P3_654977,001,2024-11-02_14h19.38.193,word_priming,2024.2.1post4,59.540537602026006,2024-11-02 14h19.51.638586 +0530,
