S1,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_3.started,pause.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial2.started,stimuli_2.started,key_resp_2.started,trial2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
The old man the boats.,The old man walked to the boat.,0,0,0,space,3.0285944999195635,None,,,,0,0,0,0,,,,,0.026509699877351522,,0.02155089983716607,0.026509699877351522,0.026509699877351522,3.0707417998928577,space,3.0285944999195635,None,,,,,,,,,,,,,,,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,space,3.648523199837655,None,,,,0,1,1,1,,,,,3.082971700001508,,3.078929399838671,3.082971700001508,3.082971700001508,6.734530600020662,space,3.648523199837655,None,,,,,,,,,,,,,,,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,space,8.026931500062346,None,,,,0,2,2,2,,,,,6.748347399989143,,6.743511099833995,6.748347399989143,6.748347399989143,14.782961199991405,space,8.026931500062346,None,,,,,,,,,,,,,,,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,space,7.83768320013769,None,,,,0,3,3,3,,,,,14.797554499935359,,14.791938500013202,14.797554499935359,14.797554499935359,22.647555999923497,space,7.83768320013769,None,,,,,,,,,,,,,,,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,space,4.533328599995002,None,,,,0,4,4,4,,,,,22.66402280004695,,22.65569719998166,22.66402280004695,22.66402280004695,27.21431649988517,space,4.533328599995002,None,,,,,,,,,,,,,,,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21453829994425,27.228827300015837,27.228827300015837,33.597507799975574,space,6.353020899929106,None,,,,,,,,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The old man the boats.,The old man walked to the boat.,0,0,0,,,,space,4.647101400187239,None,,,,,0,0,0,0,33.61238389997743,,,,,,,,,,,,,,,,33.60597569984384,33.61238389997743,33.61238389997743,38.26312189991586,space,4.647101400187239,None,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,,,,space,1.7742114998400211,None,,,,,0,1,1,1,38.27755569992587,,,,,,,,,,,,,,,,38.26925479993224,38.27755569992587,38.27755569992587,40.063175400020555,space,1.7742114998400211,None,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,,,,space,2.2256702000740916,None,,,,,0,2,2,2,40.079478699946776,,,,,,,,,,,,,,,,40.073955399915576,40.079478699946776,40.079478699946776,42.31227590003982,space,2.2256702000740916,None,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,,,,space,1.7843120000325143,None,,,,,0,3,3,3,42.32792579988018,,,,,,,,,,,,,,,,42.31736229988746,42.32792579988018,42.32792579988018,44.1289985999465,space,1.7843120000325143,None,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,,,,space,1.086681199958548,None,,,,,0,4,4,4,44.14464039984159,,,,,,,,,,,,,,,,44.135676899924874,44.14464039984159,44.14464039984159,45.24562980001792,space,1.086681199958548,None,P5,001,2024-12-06_18h34.24.711,selfpacedreading,2024.2.1post4,59.98174153057401,2024-12-06 18h34.38.722502 +0530,
