S1,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_3.started,pause.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial2.started,stimuli_2.started,key_resp_2.started,trial2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
The old man the boats.,The old man walked to the boat.,0,0,0,space,3.3560889998916537,None,,,,0,0,0,0,,,,,0.028431599959731102,,0.02354989992454648,0.028431599959731102,0.028431599959731102,3.3990487998817116,space,3.3560889998916537,None,,,,,,,,,,,,,,,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,space,8.69564380007796,None,,,,0,1,1,1,,,,,3.410848399857059,,3.405201999936253,3.410848399857059,3.410848399857059,12.109863599995151,space,8.69564380007796,None,,,,,,,,,,,,,,,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,space,14.926323800114915,None,,,,0,2,2,2,,,,,12.125979000004008,,12.117398999864236,12.125979000004008,12.125979000004008,27.059049099916592,space,14.926323800114915,None,,,,,,,,,,,,,,,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,space,12.982611800078303,None,,,,0,3,3,3,,,,,27.073827999876812,,27.069109099917114,27.073827999876812,27.073827999876812,40.072797699831426,space,12.982611800078303,None,,,,,,,,,,,,,,,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,space,8.958199299871922,None,,,,0,4,4,4,,,,,40.08885940001346,,40.0793361000251,40.08885940001346,40.08885940001346,49.05587369995192,space,8.958199299871922,None,,,,,,,,,,,,,,,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05597999994643,49.07133849989623,49.07133849989623,61.82120669982396,space,12.734780500177294,None,,,,,,,,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The old man the boats.,The old man walked to the boat.,0,0,0,,,,space,6.779766599880531,None,,,,,0,0,0,0,61.84070609998889,,,,,,,,,,,,,,,,61.83474369999021,61.84070609998889,61.84070609998889,68.6357493000105,space,6.779766599880531,None,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,,,,space,6.0245178998447955,None,,,,,0,1,1,1,68.65227629989386,,,,,,,,,,,,,,,,68.63889209995978,68.65227629989386,68.65227629989386,74.68553739995696,space,6.0245178998447955,None,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,,,,space,2.4191004000604153,None,,,,,0,2,2,2,74.70067029981874,,,,,,,,,,,,,,,,74.69124359986745,74.70067029981874,74.70067029981874,77.1356369999703,space,2.4191004000604153,None,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,,,,space,2.026793299941346,None,,,,,0,3,3,3,77.15130479983054,,,,,,,,,,,,,,,,77.14084779983386,77.15130479983054,77.15130479983054,79.18484679982066,space,2.026793299941346,None,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,,,,space,1.8398676998913288,None,,,,,0,4,4,4,79.20137769985013,,,,,,,,,,,,,,,,79.19144249986857,79.20137769985013,79.20137769985013,81.05208249995485,space,1.8398676998913288,None,P2,001,2024-12-06_18h04.04.702,selfpacedreading,2024.2.1post4,59.885188107598424,2024-12-06 18h04.12.878250 +0530,
