stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.025896099978126585,,0.0081201,0.025896099978126585,0.563582,0.563582,0.5750617000740021,0.8762578000314534,16.25832680007443,1,15.681310300016776,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
1,2,8,16.27359700005036,,16.258403100073338,16.27359700005036,16.7742618,16.7742618,16.7742618,17.07388170005288,18.143709899974056,1,1.3675865000113845,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
2,2,6,18.157394899986684,,18.14383810001891,18.157394899986684,18.657332899980247,18.657332899980247,18.657332899980247,18.957358499988914,19.32512240007054,1,0.6510087000206113,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
3,2,4,19.339884500019252,,19.32522300002165,19.339884500019252,19.83967630006373,19.83967630006373,19.83967630006373,20.139969200012274,20.491060900036246,1,0.6379881000611931,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
4,2,2,20.506191299995407,,20.491120300022885,20.506191299995407,20.990080500021577,20.990080500021577,21.00692469999194,21.290839500026777,21.575994300073944,1,0.5808065999299288,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
5,2,1,21.59018830000423,,21.576082000043243,21.59018830000423,22.090854300069623,22.090854300069623,22.090854300069623,22.40695350000169,22.774391300044954,1,0.6807710999855772,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
6,2,1,22.789624399971217,,22.774476199992932,22.789624399971217,23.289717399980873,23.289717399980873,23.289717399980873,23.59070860000793,23.925737200072035,1,0.6294274000683799,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
7,1,1,23.94070430006832,,23.925851800013334,23.94070430006832,24.440022900002077,24.440022900002077,24.440022900002077,24.73928820004221,25.825986700016074,0,1.3740380000090227,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
8,1,2,25.838812400004826,,25.82607559999451,25.838812400004826,26.340465000015683,26.340465000015683,26.340465000015683,26.639885800075717,27.173930800054222,1,0.8262089000781998,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
9,1,2,27.18905300006736,,27.174002000014298,27.18905300006736,27.673260999959894,27.673260999959894,27.688427299959585,27.973443900002167,28.205657500075176,1,0.5245253999019042,747999,001,2024-09-06_12h11.28.027,Adaptive_Staircase,2024.1.5,None,2024-09-06 12h11.32.260164 +0530
