stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.029740399913862348,,0.011965800076723099,0.029740399913862348,0.5285334999207407,0.5285334999207407,0.5454806999769062,1.5296219000592828,26.680554599966854,0,26.14751090016216,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
1,1,12.0,26.693181700073183,,26.68069970002398,26.693181700073183,27.19312720000744,27.19312720000744,27.19312720000744,,27.56151959998533,1,0.35540759982541203,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
2,1,11.0,27.576458200113848,,27.561651299940422,27.576458200113848,28.076204899931327,28.076204899931327,28.076204899931327,,28.345176999922842,1,0.25884280004538596,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
3,1,11.0,28.35987289994955,,28.34530619997531,28.35987289994955,28.85943019995466,28.85943019995466,28.85943019995466,,29.043529000133276,1,0.17488460009917617,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
4,1,11.0,29.058786100009456,,29.043625900056213,29.058786100009456,29.542537600034848,29.542537600034848,29.559221500065178,,29.594947000034153,1,0.04470909992232919,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
5,1,10.0,29.60933390003629,,29.595100600039586,29.60933390003629,30.109364700037986,30.109364700037986,30.109364700037986,,30.144816500134766,1,0.0328233998734504,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
6,1,10.0,30.159451100043952,,30.144945499952883,30.159451100043952,30.659116900060326,30.659116900060326,30.659116900060326,,30.71113930013962,0,0.03852019994519651,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
7,1,11.0,30.72631400008686,,30.711274800123647,30.72631400008686,31.208258799975738,31.208258799975738,31.24218950001523,,31.32703369995579,1,0.10583869996480644,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
8,1,11.0,31.341737000038847,,31.32715820008889,31.341737000038847,31.82742470013909,31.82742470013909,31.842378000030294,,31.894471100065857,1,0.055040800012648106,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
9,1,11.0,31.909412200096995,,31.894600100116804,31.909412200096995,32.409221899928525,32.409221899928525,32.409221899928525,,32.661336899967864,0,0.2474921999964863,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
10,1,12.0,32.675987400114536,,32.66146560013294,32.675987400114536,33.17576989997178,33.17576989997178,33.17576989997178,,33.410760400118306,1,0.2249289001338184,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
11,1,12.0,33.425603500101715,,33.41090020001866,33.425603500101715,33.92557640001178,33.92557640001178,33.92557640001178,,34.02829180005938,1,None,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
12,0.5,12.0,34.04237990011461,,34.028482200112194,34.04237990011461,34.54161090007983,34.54161090007983,34.55790999997407,,34.626549599925056,1,0.0758479000069201,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
13,0.5,11.5,34.64169580000453,,34.62668769992888,34.64169580000453,35.14189129997976,35.14189129997976,35.14189129997976,,35.17615270009264,1,0.024356700014322996,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
14,0.5,11.5,35.19157460005954,,35.176559099927545,35.19157460005954,35.692517900140956,35.692517900140956,35.692517900140956,,35.91063850000501,1,0.2021927998866886,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
15,0.5,11.5,35.925289100036025,,35.91083290008828,35.925289100036025,36.425276699941605,36.425276699941605,36.425276699941605,,36.64554279996082,0,0.21619499986991286,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
16,0.5,12.0,36.658579899929464,,36.64567880006507,36.658579899929464,37.15931460005231,37.15931460005231,37.15931460005231,,37.27744770003483,0,None,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
17,0.5,12.5,37.29189549991861,,37.277582000009716,37.29189549991861,37.791924600023776,37.791924600023776,37.791924600023776,,37.8762485999614,0,0.07491119997575879,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
18,0.5,13.0,37.89108670013957,,37.87633999995887,37.89108670013957,38.39160650013946,38.39160650013946,38.39160650013946,,38.66000370006077,1,0.2535055000334978,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
19,0.5,13.0,38.67541950009763,,38.66016299999319,38.67541950009763,39.175416300073266,39.175416300073266,39.175416300073266,,39.393289499916136,1,0.2012219000607729,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
20,0.5,13.0,39.40825630002655,,39.39349570008926,39.40825630002655,39.90809369995259,39.90809369995259,39.90809369995259,,39.94344469998032,1,0.017941600177437067,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
21,0.5,12.5,39.95814409991726,,39.94358399999328,39.95814409991726,40.4588699999731,40.4588699999731,40.4588699999731,,40.59349390002899,1,None,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
22,0.5,12.5,40.60835240012966,,40.593620700063184,40.60835240012966,41.10824179998599,41.10824179998599,41.10824179998599,,41.22813730011694,1,0.10777670005336404,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
23,0.5,12.5,41.241220799973235,,41.2282652000431,41.241220799973235,41.741259899921715,41.741259899921715,41.741259899921715,,41.75979649997316,1,0.011058199917897582,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
24,0.5,12.0,41.77454770007171,,41.7599963999819,41.77454770007171,42.27380600012839,42.27380600012839,42.27380600012839,,42.543230399955064,0,0.26005490007810295,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
25,0.5,12.5,42.558086399920285,,42.54336469992995,42.558086399920285,43.05764500005171,43.05764500005171,43.05764500005171,,43.10969200008549,1,0.03620480000972748,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
26,0.5,12.5,43.12443229998462,,43.10982050001621,43.12443229998462,43.62442300003022,43.62442300003022,43.62442300003022,,43.642734799999744,0,0.007805800065398216,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
27,0.5,13.0,43.6574633999262,,43.6428674000781,43.6574633999262,44.157558399951085,44.157558399951085,44.157558399951085,,44.193054100032896,0,0.028893799986690283,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
28,0.5,13.5,44.20773430005647,,44.193186700111255,44.20773430005647,44.70723500009626,44.70723500009626,44.70723500009626,,44.75959019991569,1,0.039842800004407763,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
29,0.5,13.5,44.77412510011345,,44.75971770007163,44.77412510011345,45.27393819997087,45.27393819997087,45.27393819997087,,45.34298410010524,0,0.05712269991636276,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
30,0.5,14.0,45.35730640008114,,45.34312819992192,45.35730640008114,45.85742070013657,45.85742070013657,45.85742070013657,,45.95933789992705,0,0.08501729997806251,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
31,0.5,14.5,45.97402700013481,,45.959471200127155,45.97402700013481,46.47419139998965,46.47419139998965,46.47419139998965,,46.591916900128126,0,0.10644170013256371,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
32,0.5,15.0,46.606859599938616,,46.59203479997814,46.606859599938616,47.10737990005873,47.10737990005873,47.10737990005873,,47.1930867000483,0,0.06983860000036657,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
33,0.5,15.5,47.20765420002863,,47.193219100125134,47.20765420002863,47.7069904000964,47.7069904000964,47.7069904000964,,47.82587220007554,0,0.11247950000688434,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
34,0.5,16.0,47.84035810013302,,47.82604359998368,47.84035810013302,48.34012629999779,48.34012629999779,48.34012629999779,,48.52555439993739,1,0.17341649997979403,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
35,0.5,16.0,48.540372600080445,,48.525686900131404,48.540372600080445,49.040236100088805,49.040236100088805,49.040236100088805,,49.09208450000733,0,0.041544900042936206,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
36,0.5,16.5,49.10699569992721,,49.09227739996277,49.10699569992721,49.6071751001291,49.6071751001291,49.6071751001291,,49.692234999965876,0,0.0702076000161469,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
37,0.5,17.0,49.70690310001373,,49.69236860005185,49.70690310001373,50.20684160012752,50.20684160012752,50.20684160012752,,50.24309549992904,1,0.03321640007197857,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
38,0.5,17.0,50.2564234000165,,50.243221800075844,50.2564234000165,50.756803600117564,50.756803600117564,50.756803600117564,,50.85890120011754,1,0.08530159993097186,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
39,0.5,17.0,50.87339289998636,,50.85902580013499,50.87339289998636,51.37333450000733,51.37333450000733,51.37333450000733,,51.47524329996668,1,0.09312830003909767,994786,001,2024-09-12_20h23.32.699,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h23.37.502932 +0530,
