trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.025315100036095828,,0.02107710001291707,0.025315100036095828,1.0142672000220045,1.0315930000506341,2.3859356000320986,down,1,1.3565706000081263,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
1,0,1,0,2.3972657000413164,,2.387580600043293,2.3972657000413164,3.397142400033772,3.397142400033772,4.298147300025448,up,0,0.8886520999949425,None,1,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
2,0,2,0,4.313964600034524,,4.300230599998031,4.313964600034524,5.3139060999965295,5.3139060999965295,6.048392500029877,down,1,0.7237131000147201,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
3,0,3,0,6.063792000000831,,6.049856700003147,6.063792000000831,7.063633800018579,7.063633800018579,8.564826900023036,down,1,1.4917273000464775,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
4,0,4,0,8.579999500012491,,8.56730830000015,8.579999500012491,9.579732100013644,9.579732100013644,10.43163090001326,up,1,0.8461765999672934,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
5,0,5,0,10.446046500001103,,10.433771700016223,10.446046500001103,11.445837800041772,11.445837800041772,12.365623900026549,up,1,0.9151981000322849,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
6,0,6,0,12.3793104000506,,12.367853400006425,12.3793104000506,13.37915900000371,13.37915900000371,14.099057000014,up,1,0.7148747000028379,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
7,0,7,0,14.11247450002702,,14.10207210003864,14.11247450002702,15.112431200046558,15.112431200046558,16.86322930001188,up,1,1.7341281999833882,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
8,0,8,0,16.87871320004342,,16.864558000001125,16.87871320004342,17.87903880001977,17.87903880001977,18.612883000052534,down,1,0.7226524000288919,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
9,0,9,0,18.62878470000578,,18.614507900027093,18.62878470000578,19.62891180004226,19.62891180004226,20.31214190000901,down,1,0.6668711999664083,None,-3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
10,0,10,0,20.328701200021897,,20.31361690000631,20.328701200021897,21.328559400048107,21.328559400048107,22.212158200039994,up,1,0.8738162000081502,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
11,0,11,0,22.228156900033355,,22.2145457000006,22.228156900033355,23.228553700027987,23.228553700027987,24.079687700024806,down,1,0.8447433999972418,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
12,0,12,0,24.09452310000779,,24.081945400044788,24.09452310000779,25.09428120002849,25.09428120002849,26.07994080003118,down,1,0.9814907999825664,None,-3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
13,0,13,0,26.094227400026284,,26.082251800049562,26.094227400026284,27.0944196000346,27.0944196000346,27.812037600029726,up,1,0.7132187000242993,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
14,0,14,0,27.82787840004312,,27.81480069999816,27.82787840004312,28.827455900027417,28.827455900027417,30.495720500010066,down,1,1.6641076999949291,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
15,0,15,0,30.510852300038096,,30.49783380003646,30.510852300038096,31.510253600019496,31.510253600019496,32.544623900030274,up,1,1.0235856999643147,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
16,0,16,0,32.55994470004225,,32.547224700043444,32.55994470004225,33.5600315000047,33.5600315000047,34.67899520002538,down,1,1.1036901999614201,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
17,0,17,0,34.693289900023956,,34.68074060004437,34.693289900023956,35.6927625000244,35.6927625000244,36.31144780002069,down,1,0.6057715999777429,None,-4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
18,0,18,0,36.326494200038724,,36.313705900043715,36.326494200038724,37.32654390000971,37.32654390000971,38.37710969999898,down,1,1.039100399997551,None,2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
19,0,19,0,38.392394400027115,,38.379702000005636,38.392394400027115,39.39245959999971,39.39245959999971,40.16051360004349,up,1,0.7643688999814913,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
20,0,20,0,40.175571600033436,,40.16196360002505,40.175571600033436,41.17635380005231,41.17635380005231,41.99420940002892,down,1,0.8041967999888584,None,-3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
21,0,21,0,42.00900840002578,,41.99568280001404,42.00900840002578,43.00885110005038,43.00885110005038,43.8764556000242,up,1,0.856653599999845,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
22,0,22,0,43.89206199999899,,43.87824020005064,43.89206199999899,44.89173190004658,44.89173190004658,46.11018720001448,up,1,1.213874200009741,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
