trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08985150000080466,,0.05489430017769337,0.08985150000080466,1.039791300194338,1.039791300194338,1.0895543000660837,1.3402583000715822,6.046060100197792,down,1,4.98602920002304,None,3,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
1,0,1,0,6.056191800162196,,6.047459700144827,6.056191800162196,7.055753900203854,7.055753900203854,7.055753900203854,7.355917800217867,7.923521700082347,down,0,0.8547766997944564,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
2,0,2,0,7.93926060013473,,7.924209700198844,7.93926060013473,8.938760600052774,8.938760600052774,8.938760600052774,9.238741800189018,9.791044500190765,down,0,0.8447653001639992,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
3,0,3,0,9.806042100070044,,9.791773000033572,9.806042100070044,10.805504800053313,10.805504800053313,10.805504800053313,11.106439199997112,11.573300400050357,up,1,0.7537270998582244,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
4,0,4,0,11.588689900003374,,11.573867000173777,11.588689900003374,12.588790000183508,12.588790000183508,12.588790000183508,12.889141699997708,13.2903370000422,up,1,0.6936846000608057,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
5,0,5,0,13.305572200100869,,13.291431599995121,13.305572200100869,14.30565970018506,14.30565970018506,14.30565970018506,14.605443900218233,15.456166100222617,down,1,1.1356391001027077,None,2,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
6,0,6,0,15.471459900029004,,15.457012600032613,15.471459900029004,16.472152000060305,16.472152000060305,16.472152000060305,16.787369600031525,17.655587600078434,up,1,1.176836899947375,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
7,0,7,0,17.67108270013705,,17.656803000019863,17.67108270013705,18.671156000113115,18.671156000113115,18.671156000113115,18.97162580001168,19.688783300109208,down,1,1.0085723001975566,None,3,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
8,0,8,0,19.703523200005293,,19.689513200195506,19.703523200005293,20.704547500004992,20.704547500004992,20.704547500004992,21.004896300146356,26.28787360014394,up,1,5.5785944000817835,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
9,0,9,0,26.302820000099018,,26.288755200104788,26.302820000099018,27.303606500150636,27.303606500150636,27.303606500150636,27.604109700070694,27.63910370017402,down,0,0.3277481999248266,None,0,570589,001,2024-09-13_11h54.43.658,signaldetection,2024.1.5,None,2024-09-13 11h54.48.245429 +0530,
