trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0896508,,0.0233945,0.0896508,1.034945,1.034945,1.1007323,1.3504363,27.9337863,up,0,26.8966244,None,-2,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
1,0,1,0,27.9479677,,27.9349931,27.9479677,28.9475049,28.9475049,28.9475049,29.2474224,37.4988526,up,1,8.5466986,None,0,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
2,0,2,0,37.5122906,,37.4998774,37.5122906,38.5128751,38.5128751,38.5128751,38.8125986,48.0801241,down,1,9.5652216,None,4,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
3,0,3,0,48.0951526,,48.0808363,48.0951526,49.0948565,49.0948565,49.0948565,49.3948322,50.8473444,down,1,1.7506111,None,1,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
4,0,4,0,50.8612083,,50.8480482,50.8612083,51.8605265,51.8605265,51.8605265,52.1607848,52.9131086,up,0,1.0456095,None,-2,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
5,0,5,0,52.9283575,,52.9141915,52.9283575,53.9274012,53.9274012,53.9436226,54.2274798,54.7779365,up,1,0.841959,None,0,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
6,0,6,0,54.7937896,,54.778534,54.7937896,55.7779973,55.7779973,55.7941358,56.0775835,56.5798818,up,1,0.8004786,None,0,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
7,0,7,0,56.5930244,,56.5807277,56.5930244,57.5936736,57.5936736,57.5936736,57.8940255,58.2615905,up,1,0.6546557,None,0,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
8,0,8,0,58.2762875,,58.262489,58.2762875,59.2767419,59.2767419,59.2767419,59.5759829,60.4101037,down,1,1.1295243,None,-5,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
9,0,9,0,60.4264306,,60.411019,60.4264306,61.4261801,61.4261801,61.4261801,61.7265228,62.2108723,down,0,0.7723995,None,0,919200,1,2024-09-13_11h47.36.411,signaldetection,2024.1.5,None,2024-09-13 11h47.40.797352 +0530
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,hi,,,,,,,,,,
