17.5289 	INFO 	Loaded monitor calibration from ['2024_08_09 11:30']
17.7967 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003EF20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003EEC0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003ED10>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D780160550>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 290.0], screen=0, size=array([800, 500]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7968 	EXP 	window1: backgroundImage = ''
17.7968 	EXP 	window1: backgroundFit = 'none'
17.7970 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.7971 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.7991 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.7997 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.8260 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.8261 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.8267 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.8272 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D78003F040>
17.8399 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.8399 	EXP 	window1: recordFrameIntervals = False
18.0245 	EXP 	window1: recordFrameIntervals = True
18.2083 	EXP 	Screen (0) actual frame rate measured at 59.76Hz
18.2084 	EXP 	window1: recordFrameIntervals = False
18.2084 	EXP 	window1: mouseVisible = True
18.2143 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
19.8189 	INFO 	keyboard.Keyboard is using iohub backend.
19.8189 	EXP 	visual_search1: status = STARTED
19.8191 	EXP 	window1: mouseVisible = True
19.8223 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
19.8226 	EXP 	window1: mouseVisible = True
