thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.278],[-0.448],[1],[0],[0],[2.7829429998528212],['target'],0,0,0,0,0.04656039993278682,,10,0.03326370008289814,0.04656039993278682,0.04656039993278682,0.03297680011019111,2.817133199889213,[-0.278],[-0.448],[1],[0],[0],[2.7829429998528212],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
1,0,1,[0.08],[0.434],[1],[0],[0],[1.4248731001280248],['target'],1,0,1,0,2.863058399874717,,10,2.8392846998758614,2.863058399874717,2.863058399874717,0.02196749998256564,4.264528499916196,[0.08],[0.434],[1],[0],[0],[1.4248731001280248],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
2,0,2,[-0.378],[0.008],[1],[0],[0],[2.1080222001764923],['target'],2,0,2,0,4.312895300099626,,10,4.289999299915507,4.312895300099626,4.312895300099626,0.025286799995228648,6.398408399894834,[-0.378],[0.008],[1],[0],[0],[2.1080222001764923],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
3,0,3,[0.122],[0.156],[1],[0],[0],[1.5229267000686377],['target'],3,0,3,0,6.42940040002577,,5,6.407488500000909,6.42940040002577,6.42940040002577,0.008916799910366535,7.930755499983206,[0.122],[0.156],[1],[0],[0],[1.5229267000686377],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
4,0,4,[-0.01],[0.314],[1],[0],[0],[1.3341300999745727],['target'],4,0,4,0,7.962061800062656,,10,7.949099600082263,7.962061800062656,7.962061800062656,0.018263300182297826,9.284006600035354,[-0.01],[0.314],[1],[0],[0],[1.3341300999745727],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
5,0,5,[-0.158],[0.234],[1],[0],[0],[2.7423219999764115],['target'],5,0,5,0,9.312048099935055,,10,9.304531200090423,9.312048099935055,9.312048099935055,0.020277699921280146,12.047212899895385,[-0.158],[0.234],[1],[0],[0],[2.7423219999764115],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
6,0,6,[0.166],[0.08],[1],[0],[0],[2.750733100110665],['target'],6,0,6,0,12.078272399958223,,10,12.064406800083816,12.078272399958223,12.078272399958223,0.017082199919968843,14.815959600033239,[0.166],[0.08],[1],[0],[0],[2.750733100110665],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
7,0,7,[0.51],[0.11],[1],[0],[0],[1.320853800047189],['target'],7,0,7,0,14.844697499880567,,5,14.826216799905524,14.844697499880567,14.844697499880567,0.010066099930554628,16.147524500032887,[0.51],[0.11],[1],[0],[0],[1.320853800047189],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
8,0,8,[0.356],[0.372],[1],[0],[0],[1.3898362999316305],['target'],8,0,8,0,16.177941600093618,,5,16.156820399919525,16.177941600093618,16.177941600093618,0.009176900144666433,17.547129899961874,[0.356],[0.372],[1],[0],[0],[1.3898362999316305],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
9,0,9,[-0.332],[0.25],[1],[0],[0],[1.5235729000996798],['target'],9,0,9,0,17.59445090009831,,10,17.57246880000457,17.59445090009831,17.59445090009831,0.025193999987095594,19.096573499962687,[-0.332],[0.25],[1],[0],[0],[1.5235729000996798],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
