study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Case,0,0,0,1,4.790668500121683,,,,,,,,,,,,0,0,0,10,,,,,0.05757980002090335,,0.019598099868744612,0.05757980002090335,0.05757980002090335,4.826190599938855,1,4.790668500121683,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
marble,1,1,0,1,3.3616540001239628,,,,,,,,,,,,0,1,1,3,,,,,4.841389799956232,,4.830562199931592,4.841389799956232,4.841389799956232,8.208255699835718,1,3.3616540001239628,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
Keys,2,2,0,1,2.528655600035563,,,,,,,,,,,,0,2,2,13,,,,,8.22402279987,,8.213008699938655,8.22402279987,8.22402279987,10.757539900019765,1,2.528655600035563,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
phone,3,3,0,1,1.3640284000430256,,,,,,,,,,,,0,3,3,2,,,,,10.773535799933597,,10.762664299923927,10.773535799933597,10.773535799933597,12.14088899991475,1,1.3640284000430256,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
Laptop,4,4,0,1,1.8300779999699444,,,,,,,,,,,,0,4,4,5,,,,,12.156528800027445,,12.14481469988823,12.156528800027445,12.156528800027445,13.99067259998992,1,1.8300779999699444,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
Police,5,5,0,1,1.3295580002013594,,,,,,,,,,,,0,5,5,12,,,,,14.006570999976248,,13.995189500041306,14.006570999976248,14.006570999976248,15.340821599820629,1,1.3295580002013594,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
board,6,6,0,1,1.9278055999893695,,,,,,,,,,,,0,6,6,4,,,,,15.371772299986333,,15.346425399882719,15.371772299986333,15.371772299986333,17.290327799972147,1,1.9278055999893695,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
Poster,7,7,0,1.008,1.548505200073123,,,,,,,,,,,,0,7,7,14,,,,,17.306364899966866,,17.292552799917758,17.306364899966866,17.306364899966866,18.856813399819657,1.008,1.548505200073123,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
Pastry,8,8,0,1.008,1.4818812999874353,,,,,,,,,,,,0,8,8,9,,,,,18.872300299815834,,18.859433999983594,18.872300299815834,18.872300299815834,20.356467299861833,1.008,1.4818812999874353,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
T-shirt,9,9,0,1.0,1.4629748000297695,,,,,,,,,,,,0,9,9,7,,,,,20.371976899914443,,20.361059800023213,20.371976899914443,20.371976899914443,21.839688299922273,1.0,1.4629748000297695,,,,,,,,,,,,,,,,,,,P4_544316,001,2024-11-02_14h46.24.744,word_priming,2024.2.1post4,60.50013036856115,2024-11-02 14h46.41.505201 +0530,
