study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Case,0,0,0,1,14.873931500129402,,,,,,,,,,,,0,0,0,10,,,,,0.05435099988244474,,0.031049299985170364,0.05435099988244474,0.05435099988244474,8.052962000016123,14.920192399993539,1,14.873931500129402,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
Poster,1,1,0,1,2.2282300998922437,,,,,,,,,,,,0,1,1,14,,,,,14.936435899930075,,14.925811300054193,14.936435899930075,14.936435899930075,,17.16976620000787,1,2.2282300998922437,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
cushion,2,2,0,1,1.2621345999650657,,,,,,,,,,,,0,2,2,1,,,,,17.185758400009945,,17.174713399959728,17.185758400009945,17.185758400009945,,18.453439499950036,1,1.2621345999650657,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
marble,3,3,0,1,0.9647919998969883,,,,,,,,,,,,0,3,3,3,,,,,18.46969569986686,,18.45654539996758,18.46969569986686,18.46969569986686,,19.436184499878436,1,0.9647919998969883,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
board,4,4,0,1,1.2304342000279576,,,,,,,,,,,,0,4,4,4,,,,,19.452005099970847,,19.440392799908295,19.452005099970847,19.452005099970847,,20.686457299860194,1,1.2304342000279576,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
Keys,5,5,0,1,0.9947405999992043,,,,,,,,,,,,0,5,5,13,,,,,20.701734999893233,,20.6920364999678,20.701734999893233,20.701734999893233,,21.70265379990451,1,0.9947405999992043,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
mouse,6,6,0,1,1.1989357999991626,,,,,,,,,,,,0,6,6,8,,,,,21.718208899954334,,21.705627399962395,21.718208899954334,21.718208899954334,,22.919611799996346,1,1.1989357999991626,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
phone,7,7,0,1,1.0953796000685543,,,,,,,,,,,,0,7,7,2,,,,,22.935089600039646,,22.92480849986896,22.935089600039646,22.935089600039646,,24.036283599911258,1,1.0953796000685543,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
T-shirt,8,8,0,1,0.8642184999771416,,,,,,,,,,,,0,8,8,7,,,,,24.051929699955508,,24.040715500013903,24.051929699955508,24.051929699955508,,24.919208799954504,1,0.8642184999771416,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
Pastry,9,9,0,1,0.9142855999525636,,,,,,,,,,,,0,9,9,9,,,,,24.934110299916938,,24.921983500011265,24.934110299916938,24.934110299916938,,25.852306599961594,1,0.9142855999525636,,,,,,,,,,,,,,,P5_054257,001,2024-11-02_14h49.30.893,word_priming,2024.2.1post4,59.79981414939481,2024-11-02 14h49.43.797868 +0530,
