study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Cruise,0,0,0,1,1.9393851000349969,,,,,,,,,,,,0,0,0,11,,,,,0.09828309994190931,,0.06214009993709624,0.09828309994190931,0.09828309994190931,2.019600899890065,1,1.9393851000349969,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
cushion,1,1,0,1,5.6153035999741405,,,,,,,,,,,,0,1,1,1,,,,,2.064058299874887,,2.033705099951476,2.064058299874887,2.064058299874887,7.667178399860859,1,5.6153035999741405,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
phone,2,2,0,1,2.501056900015101,,,,,,,,,,,,0,2,2,2,,,,,7.696736699901521,,7.682233899831772,7.696736699901521,7.696736699901521,10.198993899859488,1,2.501056900015101,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
board,3,3,0,2.032,2.322799199959263,,,,,,,,,,,,0,3,3,4,,,,,10.229579999810085,,10.209230199921876,10.229579999810085,10.229579999810085,12.549040099838749,2.032,2.322799199959263,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
Keys,4,4,0,1,2.0744824002031237,,,,,,,,,,,,0,4,4,13,,,,,12.579377999994904,,12.557975999778137,12.579377999994904,12.579377999994904,14.649169399868697,1,2.0744824002031237,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
book ,5,5,0,1,0.8630898999981582,,,,,,,,,,,,0,5,5,0,,,,,14.679400999797508,,14.652807299979031,14.679400999797508,14.679400999797508,15.533350199926645,1,0.8630898999981582,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
Case,6,6,0,1.392,1.762095500016585,,,,,,,,,,,,0,6,6,10,,,,,15.564353999914601,,15.536605999805033,15.564353999914601,15.564353999914601,17.314689999911934,1.392,1.762095500016585,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
Laptop,7,7,0,1.008,2.059620500076562,,,,,,,,,,,,0,7,7,5,,,,,17.344998699845746,,17.32195429992862,17.344998699845746,17.344998699845746,19.39874769980088,1.008,2.059620500076562,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
Police,8,8,0,1,2.3252086001448333,,,,,,,,,,,,0,8,8,12,,,,,19.430302099790424,,19.40689169988036,19.430302099790424,19.430302099790424,21.747474299976602,1,2.3252086001448333,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
Poster,9,9,0,1,1.0473452999722213,,,,,,,,,,,,0,9,9,14,,,,,21.777793399989605,,21.750942999962717,21.777793399989605,21.777793399989605,22.814115799963474,1,1.0473452999722213,,,,,,,,,,,,,,,P6_066778,001,2024-11-03_14h18.07.399,word_priming,2024.2.1post4,60.09756244011825,2024-11-03 14h18.25.689528 +0530,
